Date Of Stop,Make,Count of Time Of Stop
1/1/18,ACURA,14
1/1/18,AUDI,1
1/1/18,BMW,5
1/1/18,BUICK,1
1/1/18,CADILLAC,6
1/1/18,CHEV,3
1/1/18,CHEVROLET,5
1/1/18,CHEVY,11
1/1/18,CHRY,2
1/1/18,DIDGE,1
1/1/18,DODGE,13
1/1/18,FORD,32
1/1/18,HOND,11
1/1/18,HONDA,28
1/1/18,HYUN,4
1/1/18,HYUNDAI,10
1/1/18,INFINITI,5
1/1/18,ISU,3
1/1/18,JEEP,1
1/1/18,LAND ROVER,2
1/1/18,LEXUS,19
1/1/18,LINCOLN,4
1/1/18,MASE,1
1/1/18,MAZDA,3
1/1/18,MERC,1
1/1/18,MERCEDES,4
1/1/18,MERCURY,12
1/1/18,MERZ,2
1/1/18,MITS,1
1/1/18,MITSUBISHI,8
1/1/18,NISS,2
1/1/18,NISSAN,29
1/1/18,PONT,1
1/1/18,SATURN,1
1/1/18,SCION,1
1/1/18,SUBARU,3
1/1/18,TOYO,1
1/1/18,TOYOTA,41
1/1/18,TOYT,7
1/1/18,VOLK,1
1/1/18,VOLKSWAGEN,1
1/2/18,ACUR,1
1/2/18,ACURA,10
1/2/18,AUDI,2
1/2/18,BMW,14
1/2/18,BUICK,1
1/2/18,CADI,3
1/2/18,CADILLAC,2
1/2/18,CHEV,7
1/2/18,CHEVORLET,3
1/2/18,CHEVROLET,7
1/2/18,CHEVY,4
1/2/18,CHRY,2
1/2/18,CHRYS,1
1/2/18,CHRYSLER,3
1/2/18,CHYRSLER,1
1/2/18,DODG,4
1/2/18,DODGE,9
1/2/18,FORD,57
1/2/18,GEO,1
1/2/18,GMC,2
1/2/18,HODA,1
1/2/18,HOND,16
1/2/18,HONDA,77
1/2/18,HYUN,7
1/2/18,HYUNDAI,13
1/2/18,INFI,3
1/2/18,INFINITI,7
1/2/18,ISSAN,5
1/2/18,JEEP,10
1/2/18,KIA,10
1/2/18,LEXS,2
1/2/18,LEXUS,7
1/2/18,MAZDA,14
1/2/18,MERCEDES,2
1/2/18,MERCURY,1
1/2/18,MERZ,3
1/2/18,MINI,1
1/2/18,MITS,1
1/2/18,MITSUBISHI,1
1/2/18,NISS,5
1/2/18,NISSAN,27
1/2/18,PONT,1
1/2/18,PORS,2
1/2/18,SCIO,1
1/2/18,SCION,1
1/2/18,SUBA,2
1/2/18,SUBARU,8
1/2/18,TOY,2
1/2/18,TOYO,1
1/2/18,TOYOT,6
1/2/18,TOYOTA,82
1/2/18,TOYT,26
1/2/18,TOYTA,1
1/2/18,VOLK,2
1/2/18,VOLKS,1
1/2/18,VOLKS WAGON,3
1/2/18,VOLKSWAGEN,1
1/2/18,VOLV,2
1/2/18,VOLVA,1
1/2/18,VOLVO,2
1/2/18,VW,1
1/3/18,ACUR,2
1/3/18,ACURA,3
1/3/18,AUDI,9
1/3/18,BMW,12
1/3/18,BUIC,1
1/3/18,CADI,3
1/3/18,CHEV,2
1/3/18,CHEVROLET,6
1/3/18,CHEVY,8
1/3/18,CHRYSLER,5
1/3/18,DODG,2
1/3/18,DODGE,12
1/3/18,FORD,46
1/3/18,FREIGHTLINER,1
1/3/18,GMC,8
1/3/18,HAUL,1
1/3/18,HOND,17
1/3/18,HONDA,26
1/3/18,HYUN,8
1/3/18,HYUND,1
1/3/18,HYUNDAI,10
1/3/18,INFINITI,4
1/3/18,JEEP,10
1/3/18,KIA,9
1/3/18,LEX,2
1/3/18,LEXS,2
1/3/18,LEXU,1
1/3/18,LEXUS,2
1/3/18,MAZDA,9
1/3/18,MERCEDES,3
1/3/18,MERCEDS BENZ,1
1/3/18,MERZ,5
1/3/18,MINI,2
1/3/18,MITS,1
1/3/18,MITSUBISHI,1
1/3/18,MITZ,1
1/3/18,NISS,1
1/3/18,NISSAN,27
1/3/18,NONE,9
1/3/18,PONTIAC,2
1/3/18,RANGE ROVER,1
1/3/18,SUBA,1
1/3/18,SUBARU,8
1/3/18,TOMA,4
1/3/18,TOYOT,2
1/3/18,TOYOTA,48
1/3/18,TOYT,17
1/3/18,TREK,1
1/3/18,VOLK,6
1/3/18,VOLV,2
1/3/18,VOLVO,4
1/3/18,VW,2
1/4/18,ACUR,3
1/4/18,ACURA,8
1/4/18,BMW,9
1/4/18,CHEVROLET,6
1/4/18,CHEVY,5
1/4/18,FORD,7
1/4/18,GMC,4
1/4/18,HIUNDAI,1
1/4/18,HOND,4
1/4/18,HONDA,15
1/4/18,INFINITI,2
1/4/18,ISU,1
1/4/18,JEEP,10
1/4/18,KIA,2
1/4/18,LEXS,5
1/4/18,LEXUS,1
1/4/18,MAZDA,4
1/4/18,MINI,1
1/4/18,NISS,12
1/4/18,NISSAN,5
1/4/18,SCION,6
1/4/18,STERLING,1
1/4/18,SUBARU,3
1/4/18,TOYOTA,23
1/4/18,TOYT,1
1/4/18,VOLKSWAGON,3
1/4/18,VOLVO,3
1/4/18,VW,1
1/5/18,ACURA,7
1/5/18,AUDI,7
1/5/18,BMW,7
1/5/18,BUICK,1
1/5/18,CADI,10
1/5/18,CHEV,3
1/5/18,CHEVROLET,10
1/5/18,CHEVY,3
1/5/18,CHRY,2
1/5/18,CHRYSLER,1
1/5/18,DODG,3
1/5/18,DODGE,5
1/5/18,FORD,17
1/5/18,GMC,8
1/5/18,HOND,4
1/5/18,HONDA,21
1/5/18,HYUNDAI,4
1/5/18,INFI,1
1/5/18,JEEP,19
1/5/18,KIA,3
1/5/18,LEXS,1
1/5/18,LINC,3
1/5/18,LINCOLN,1
1/5/18,MAZD,3
1/5/18,MAZDA,2
1/5/18,MERCEDES,3
1/5/18,MERCEDES BENZ,1
1/5/18,MERZ,2
1/5/18,MINI,1
1/5/18,MITSUBISHI,1
1/5/18,NISS,8
1/5/18,NISSAN,9
1/5/18,OLDSMOBILE,3
1/5/18,RAM,1
1/5/18,SATURN,2
1/5/18,SCION,5
1/5/18,SUBARU,7
1/5/18,TESL,3
