Date Of Stop,VehicleType,Count of Time Of Stop
1/1/18,01 - Motorcycle,2
1/1/18,02 - Automobile,297
1/1/18,03 - Station Wagon,1
1/1/18,28 - Other,1
1/2/18,01 - Motorcycle,2
1/2/18,02 - Automobile,466
1/2/18,03 - Station Wagon,5
1/2/18,05 - Light Duty Truck,11
1/2/18,08 - Recreational Vehicle,5
1/2/18,28 - Other,3
1/2/18,29 - Unknown,1
1/3/18,01 - Motorcycle,1
1/3/18,02 - Automobile,295
1/3/18,03 - Station Wagon,7
1/3/18,05 - Light Duty Truck,41
1/3/18,06 - Heavy Duty Truck,2
1/3/18,12 - School Bus,1
1/3/18,25 - Utility Trailer,5
1/3/18,28 - Other,10
1/3/18,29 - Unknown,9
1/4/18,02 - Automobile,131
1/4/18,03 - Station Wagon,5
1/4/18,05 - Light Duty Truck,1
1/4/18,06 - Heavy Duty Truck,1
1/4/18,28 - Other,8
1/5/18,01 - Motorcycle,2
1/5/18,02 - Automobile,216
1/5/18,03 - Station Wagon,4
1/5/18,05 - Light Duty Truck,12
1/5/18,06 - Heavy Duty Truck,1
1/5/18,28 - Other,1
1/6/18,01 - Motorcycle,3
1/6/18,02 - Automobile,318
1/6/18,05 - Light Duty Truck,8
1/6/18,08 - Recreational Vehicle,1
1/6/18,29 - Unknown,5
1/7/18,01 - Motorcycle,1
1/7/18,02 - Automobile,383
1/7/18,03 - Station Wagon,1
1/7/18,05 - Light Duty Truck,7
1/7/18,06 - Heavy Duty Truck,1
1/7/18,10 - Transit Bus,2
1/8/18,01 - Motorcycle,4
1/8/18,02 - Automobile,246
1/8/18,03 - Station Wagon,7
1/8/18,05 - Light Duty Truck,18
1/8/18,06 - Heavy Duty Truck,3
1/8/18,08 - Recreational Vehicle,3
1/8/18,10 - Transit Bus,1
1/8/18,28 - Other,1
1/9/18,02 - Automobile,27
1/9/18,05 - Light Duty Truck,5
1/9/18,06 - Heavy Duty Truck,5
1/9/18,28 - Other,3
