Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
1/9/2018,7:31:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,GEORGIA AVE @ BEL PRE RD,39.09302517,-77.07800233,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2003,FORD,E350,WHITE,Citation,16-303(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0930251666667, -77.0780023333333)"
1/9/2018,7:31:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE @ BEL PRE RD,39.09302517,-77.07800233,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2003,FORD,E350,WHITE,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0930251666667, -77.0780023333333)"
1/9/2018,7:31:00,MCP,"4th district, Wheaton",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,GEORGIA AVE @ BEL PRE RD,39.09302517,-77.07800233,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2003,FORD,E350,WHITE,Citation,23-104,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0930251666667, -77.0780023333333)"
1/9/2018,3:08:00,MCP,"5th district, Germantown",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,GA/EAST WEST,39.046375,-76.9902,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,4D,"GREEN, DK",Citation,21-902(a1i),Transportation Article,No,WHITE,M,WESTMINSTER,MD,MD,A - Marked Patrol,"(39.046375, -76.9902)"
1/9/2018,3:08:00,MCP,"5th district, Germantown",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,GA/EAST WEST,39.046375,-76.9902,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,4D,"GREEN, DK",Citation,21-902(a1ii),Transportation Article,No,WHITE,M,WESTMINSTER,MD,MD,A - Marked Patrol,"(39.046375, -76.9902)"
1/9/2018,3:08:00,MCP,"5th district, Germantown",DRIVING VEH. WHILE IMPAIRED BY ALCOHOL,GA/EAST WEST,39.046375,-76.9902,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,4D,"GREEN, DK",Citation,21-902(b1i),Transportation Article,No,WHITE,M,WESTMINSTER,MD,MD,A - Marked Patrol,"(39.046375, -76.9902)"
1/9/2018,1:22:00,MCP,"5th district, Germantown",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,MIDDLEBROOK RD/GERMANTOWN RD,39.17724167,-77.26347333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,HOND,4S,GRAY,Citation,13-411(f),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1772416666667, -77.2634733333333)"
1/9/2018,7:37:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 34 MPH IN A POSTED 25 MPH ZONE,OLD GEORGETOWN RD @ AUBURN AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,AUDI,A7,BLACK,Citation,21-801.1,Transportation Article,No,WHITE,M,DELRAY BEACH,FL,FL,Q - Marked Laser,
1/9/2018,7:52:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 34 MPH IN A POSTED 25 MPH ZONE,OLD GEORGETOWN RD @ AUBURN AVE,,,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2017,HONDA,CIVIC,BLACK,Citation,21-801.1,Transportation Article,No,ASIAN,M,FALLS CHURCH,VA,VA,Q - Marked Laser,
1/9/2018,8:08:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 34 MPH IN A POSTED 25 MPH ZONE,OLD GEORGETOWN RD @ AUBURN AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,NISSAN,ALTIMA,GRAY,Citation,21-801.1,Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,Q - Marked Laser,
